name,province,province_name,website,software,category,final_url,error
Charlottetown Bluephins Aquatic Club,PE,Prince Edward Island,https://www.gomotionapp.com/team/cancb/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/cancb/page/home,
Summerside Dolphin Swim Club,,,https://www.summersidedolphins.com,PoolQ,Swim-specific,https://www.summersidedolphins.com/,
Bridgewater Barracudas,,,,No Website,No Website,,
Cape Breton Dorados,NS,Nova Scotia,,No Website,No Website,,
Cole Harbour Hurricanes,NS,Nova Scotia,http://coleharbourhurricanes.com,GoalLine (Stack Sports),Sports management,http://coleharbourhurricanes.com/,
Cumberland Spartans,NS,Nova Scotia,,No Website,No Website,,
Halifax Trojan Aquatic Club,NS,Nova Scotia,https://htac.ca,PoolQ,Swim-specific,https://htac.ca/,
Kings Edge Hill School,NS,Nova Scotia,https://www.kes.ns.ca,Unknown / Custom,Unknown / Custom,https://www.kes.ns.ca/,
Pictou County Mariners,,,https://pcm.poolq.net,PoolQ,Swim-specific,https://pcm.poolq.net/,
St. Margaret's Bay Breakers,NS,Nova Scotia,https://www.smbb.ca,PoolQ,Swim-specific,https://www.smbb.ca/,
Sackville Waves Aquatic Team,NS,Nova Scotia,https://swat.poolq.net,PoolQ,Swim-specific,https://swat.poolq.net/,
Wolfville Tritons Swim Club,NS,Nova Scotia,,No Website,No Website,,
Yarmouth Whitecaps,NS,Nova Scotia,https://sites.google.com/view/yarmouthwhitecaps/home,Google Sites,CMS / Website builder,https://sites.google.com/view/yarmouthwhitecaps/home,
Aqua Aces Swim Club,NL,Newfoundland and Labrador,,No Website,No Website,,
Conception Bay South Bluefins,NL,Newfoundland and Labrador,https://cbsbluefins.ca,PoolQ,Swim-specific,https://cbsbluefins.ca/,
Corner Brook Rapids Swimclub,NL,Newfoundland and Labrador,https://www.cbrapids.com,GoMotion,Swim-specific,https://www.cbrapids.com/,
Melville Mantas Swim Club,NL,Newfoundland and Labrador,,No Website,No Website,,
Mount Pearl Marlins Swim Club,NL,Newfoundland and Labrador,,No Website,No Website,,
